Year,Month,Totalt,Easee,Bad - Varmekabler,Bad kjeller - Varmekabler,Casper,Cornelius,Kjellergang,Kjellerstue - Varmekabler ,Kjellerstue - Varmeovn,Stue,VVB,Varmepumpe,Vaskerom - varme,Vindfang
2024,Januar,3386,544,0,0,462,0,0,0,0,0,486,428,0,0
2024,Februar,2466,403,168,139,342,1,256,0,0,4,353,309,0,10
2024,Mars,1826,236,139,62,148,0,207,0,0,24,243,186,0,14
2024,April,2036,247,174,243,63,0,295,0,0,4,243,170,0,14
2024,Mai,1405,343,99,97,0,0,24,0,0,0,381,0,0,1
2024,Juni,1495,386,141,180,0,0,0,0,0,0,332,0,0,0
2024,Juli,1313,287,103,146,0,0,0,0,0,0,290,0,0,0
2024,August,1456,384,109,142,0,0,0,0,0,0,300,0,0,0
2024,September,1511,394,135,165,0,0,0,0,0,10,278,16,0,0
2024,Oktober,1802,341,187,310,23,0,14,0,0,1,312,141,0,0
2024,November,2273,396,229,392,108,0,7,0,0,0,360,272,0,0
2024,Desember,2833,523,231,413,226,0,24,0,0,12,469,332,0,0
2025,Januar,3148,593,210,398,303,8,309,0,0,0,544,392,0,1
2025,Februar,2654,445,164,230,270,20,284,0,0,0,466,261,0,0
2025,Mars,2362,332,156,62,155,0,213,0,0,8,566,194,0,0
2025,April,1679,190,142,243,84,0,0,0,0,0,511,127,0,0
2025,Mai,1549,282,138,97,24,0,0,0,0,1,457,59,0,0
2025,Juni,1099,225,0,180,0,0,0,0,0,0,0,0,0,0
2025,Juli,1199,289,0,146,0,0,0,0,0,0,0,0,0,0
2025,August,1224,265,0,142,0,0,0,0,0,0,0,0,0,0
2025,September,1382,262,0,165,0,0,0,0,0,0,0,0,0,0
2025,Oktober,1921,454,0,310,0,0,0,0,0,0,435,158,0,0
2025,November,2172,456,0,392,0,0,0,0,0,0,450,218,0,0
2025,Desember,2561,514,200,182,219,0,68,0,0,12,584,269,0,1
